actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
aparcamiento publico,Aparcamiento,AV,Avenida,Antigua TF 655 Las Galletas,38,38639.0,38035,San Miguel,P I Las Chafiras,,,0.0,,-16.61895492,28.05047488,2017-02-15T11:40:07.893000,2018-03-16T11:40:04.759000
aparcamiento publico,Aparcamiento Antiguo Mercado,PZ,"Plaza, plazoleta",Adelantado,0,38201.0,38023,La Laguna,,,,,,-16.31256362,28.48823628,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Av Maritima 1,AV,Avenida,Constitucion,0,38005.0,38038,Santa Cruz de Tenerife,Plaza Intercambiador,,,,,-16.25128589,28.45787659,2016-05-09T12:45:15,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Av Maritima 2,AV,Avenida,Maritima,0,38003.0,38038,Santa Cruz de Tenerife,Via Servicio Muelle Los Llanos,,,,,-16.24925967,28.46007844,2016-05-09T12:45:15,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Bollullo,Cm,Camino,El Bollullo,114,38300.0,38026,La Orotava,El Bollullo,,,,,-16.51962108,28.4168179,2023-10-31T09:33:29.398000,2023-10-31T09:33:29.398000
aparcamiento publico,Aparcamiento CC Concorde,CL,Calle,San Borondon,19,38107.0,38038,Santa Cruz de Tenerife,CC Concorde Taco,,,,,-16.2996053,28.44430496,2016-05-09T12:45:15.374000,2015-08-04T10:46:09.756000
aparcamiento publico,Aparcamiento CC Continental I,CL,Calle,Bentagay,2,38111.0,38038,Santa Cruz de Tenerife,Añaza CC Continental,,,,,-16.30010464,28.42572936,2016-05-09T12:45:15.374000,2017-07-06T09:55:53.003000
aparcamiento publico,Aparcamiento CC Continental II,CL,Calle,Bentagay,2,38111.0,38038,Santa Cruz de Tenerife,Añaza CC Continental,,,,,-16.30027627,28.42533606,2016-05-09T12:45:15.374000,2017-07-06T09:55:53.003000
aparcamiento publico,Aparcamiento CC Media Markt,CL,Calle,Bentagay,2,38111.0,38038,Santa Cruz de Tenerife,Añaza CC Continental,,,,,-16.29998249,28.42600088,2016-05-09T12:45:15.374000,2017-07-06T09:55:53.003000
aparcamiento publico,Aparcamiento CC Mercado,AV,Avenida,Jose Manuel Guimera,4,38003.0,38038,Santa Cruz de Tenerife,CC Nuestra Señora de Africa Lc Pl St,,,,,-16.2514688,28.46236953,2016-05-09T12:45:15.374000,2018-01-31T12:33:10.350000
aparcamiento publico,Aparcamiento CC Meridiano,AV,Avenida,Manuel Hermoso Rojas,16,38003.0,38038,Santa Cruz de Tenerife,CC Meridiano Pt Sotano,,,,,-16.25846156,28.45690642,2016-05-09T12:45:15.374000,2016-02-19T10:03:00.238000
aparcamiento publico,Aparcamiento Cementerio Sauzal,CJ,Callejón,Cementerio,0,38360.0,38041,El Sauzal,,,,,,-16.434313,28.47943899,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Centro Orotava,CL,Calle,Inocencio Garcia,5,38300.0,38026,La Orotava,,,,922332359.0,,-16.5246066,28.39043261,2018-01-22T09:02:49,2018-01-22T09:03:22.096000
aparcamiento publico,Aparcamiento Complejo Deportivo,CL,Calle,Olimpia,7,38360.0,38041,El Sauzal,,,,,,-16.429855,28.47940399,2016-05-09T12:45:15.374000,2015-08-04T13:39:35.904000
aparcamiento publico,Aparcamiento Cornalina,CL,Calle,Tome Cano,8,38005.0,38038,Santa Cruz de Tenerife,Ed Coralina,,,,,-16.26199376,28.45807989,2016-05-09T12:45:15.374000,2017-09-26T14:45:07.211000
aparcamiento publico,Aparcamiento Cubierto,CL,Calle,San Agustin,86,38430.0,38022,Icod de los Vinos,,,,,,-16.715117,28.36905615,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento Charco del Viento,LG,"Lugar, zona",Charco del Viento,0,38441.0,38018,La Guancha,Charco del Viento,,,,,-16.67310861,28.40025339,2016-05-09T12:45:15.374000,2023-10-18T14:38:49.207000
aparcamiento publico,Aparcamiento descubierto,Cl,Calle,del Calvario,s/n,38350.0,38043,Tacoronte,Cementerio municipal,,,,,-16.41650398,28.48324991,2023-10-31T10:36:07.076000,2023-10-31T10:36:07.076000
aparcamiento publico,Aparcamiento Descubierto,AV,Avenida,Francisco Miranda,33,38430.0,38022,Icod de los Vinos,,,,,,-16.722397,28.36956799,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento Descubierto,PS,Paseo,Las Americas,0,38430.0,38022,Icod de los Vinos,Py San Marcos,,,,,-16.722281,28.37800199,2016-05-09T12:45:15,2017-03-06T09:02:34.401000
aparcamiento publico,Aparcamiento Descubierto,CL,Calle,Asomada,8,38430.0,38022,Icod de los Vinos,,,,,,-16.717863,28.36649699,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento Descubierto,PS,Paseo,Las Americas,0,38430.0,38022,Icod de los Vinos,Py San Marcos,,,,,-16.723282,28.37724699,2016-05-09T12:45:15,2017-03-06T09:02:34.401000
aparcamiento publico,Aparcamiento Descubierto,PS,Paseo,Mencey Ycoden,3,38430.0,38022,Icod de los Vinos,,,,,,-16.718182,28.36610199,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento Descubierto,CL,Calle,El Durazno,20,38430.0,38022,Icod de los Vinos,,,,,,-16.715918,28.36758999,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento Drago Cubierto,AV,Avenida,Canarias,2,38430.0,38022,Icod de los Vinos,,,,,,-16.720201,28.36769699,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento El Corte Ingles,CL,Calle,Alvaro Rodriguez Lopez,1,38005.0,38038,Santa Cruz de Tenerife,Los Llanos,,,,,-16.25413315,28.45916765,2016-05-09T12:45:15.374000,2016-11-07T09:26:04.233000
aparcamiento publico,Aparcamiento El Cristo,PZ,"Plaza, plazoleta",El Cristo,0,38201.0,38023,La Laguna,,,,922632042.0,,-16.31364857,28.49298859,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento El Juego,CL,Calle,El Juego,8,38204.0,38023,La Laguna,,,,922251775.0,,-16.31673645,28.48716232,2016-05-09T12:45:15.374000,2015-12-04T12:52:30.166000
aparcamiento publico,Aparcamiento El Pilar,CL,Calle,Puerto Escondido,4,38002.0,38038,Santa Cruz de Tenerife,,,,,,-16.25174574,28.47013639,2016-05-09T12:45:15.374000,2022-04-22T13:23:10.741000
aparcamiento publico,Aparcamiento El Vallado,CM,Camino,El Vallado,25,38206.0,38023,La Laguna,,,,922825643.0,,-16.32565809,28.48486825,2016-05-09T12:45:15.374000,2015-12-04T12:52:30.182000
aparcamiento publico,Aparcamiento Estadio,CL,Calle,Gongora,8,38005.0,38038,Santa Cruz de Tenerife,,,,,,-16.259304,28.46272099,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
aparcamiento publico,Aparcamiento Estadio HRL,CL,Calle,Gumersindo Robayna Galvan,4,38005.0,38038,Santa Cruz de Tenerife,,,,,,-16.25925948,28.46295559,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
aparcamiento publico,Aparcamiento Girasol,CL,Calle,Girasol,0,38203.0,38023,La Laguna,San Honorato,,,,,-16.32152887,28.48643794,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Greco,CL,Calle,Luis de la Cruz,17,38007.0,38038,Santa Cruz de Tenerife,,,,,,-16.26378634,28.46629315,2016-05-09T12:45:15.374000,2015-08-04T10:38:26.043000
aparcamiento publico,Aparcamiento Hospital Universitario de Canarias,CR,Carretera,General TF 194 La Cuesta Taco,0,38320.0,38023,La Laguna,Hospital Universitario de Canarias,,,,,-16.29140979,28.45868862,2017-01-27T08:57:58.465000,2017-01-27T08:57:58.465000
aparcamiento publico,Aparcamiento Intercambiador LL,AV,Avenida,Angel Guimera Jorge,5,38206.0,38023,La Laguna,Intercambiador de Transportes La Laguna,,,,,-16.31723687,28.4804662,2016-05-09T12:45:15.374000,2015-08-04T13:49:06.256000
aparcamiento publico,Aparcamiento Intercambiador SCT,CL,Calle,Fomento,2,38003.0,38038,Santa Cruz de Tenerife,Los Llanos,,,,,-16.25257576,28.45914843,2016-05-09T12:45:15,2016-10-13T09:51:30.613000
aparcamiento publico,Aparcamiento La Laguna Centro,Cl,Calle,La Higuera,20,38202.0,38023,La Laguna,,,,,,-16.32001649,28.48868592,2023-10-31T12:16:47.320000,2023-10-31T12:16:47.320000
aparcamiento publico,Aparcamiento La Magalona Cubierto,CL,Calle,Jose Luis Ravelo Pepe Flores,0,38430.0,38022,Icod de los Vinos,CC La Magalona,,,,,-16.721535,28.36888299,2016-05-09T12:45:15,2018-02-06T12:10:09.107000
aparcamiento publico,Aparcamiento La Milagrosa,PZ,"Plaza, plazoleta",San Cristobal,0,38204.0,38023,La Laguna,Pz La Milagrosa Subterraneo,,,,,-16.31396809,28.48438148,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento La Noria,CL,Calle,Antonio Dominguez Alfonso,40,38003.0,38038,Santa Cruz de Tenerife,La Noria,,,,,-16.25126655,28.46519076,2016-05-09T12:45:15.374000,2016-02-19T10:36:01.762000
aparcamiento publico,Aparcamiento La Piramide,CL,Calle,Mercado,3,38360.0,38041,El Sauzal,,,,,,-16.433523,28.48012899,2016-05-09T12:45:15.374000,2016-07-28T07:58:13.254000
aparcamiento publico,Aparcamiento La Trinidad,AV,Avenida,Trinidad,0,38204.0,38023,La Laguna,Subterraneo Avenida,,,922266771.0,,-16.31663521,28.48522905,2016-05-09T12:45:15.374000,2019-02-13T12:27:11.390000
aparcamiento publico,Aparcamiento La Trinidad,Av,Avenida,Trinidad,5,38204.0,38023,La Laguna,Parkia,,,,,-16.31603263,28.48684241,2023-10-31T12:23:10.542000,2023-10-31T12:23:10.542000
aparcamiento publico,Aparcamiento Laguna Centro,CL,Calle,Manuel de Ossuna,57,38202.0,38023,La Laguna,,,,922264610.0,,-16.31988361,28.48909536,2016-05-09T12:45:15.374000,2015-12-04T12:54:18.008000
aparcamiento publico,Aparcamiento Las Arenas,LG,"Lugar, zona",Playa de las Arenas,0,38480.0,38010,Buenavista del Norte,,,,,,-16.87015747,28.3721748,2016-05-09T12:45:15.374000,2023-10-18T14:41:54.296000
aparcamiento publico,Aparcamiento Las Calderetas,CL,Calle,Lomo Piedras,254,38359.0,38041,El Sauzal,La Caldereta,,,,,-16.412111,28.44638599,2016-05-09T12:45:15.374000,2015-08-04T13:40:07.951000
aparcamiento publico,Aparcamiento Las Piramides,AV,Avenida,Aguilar y Quesada,2,38400.0,38028,Puerto de la Cruz,CC Piramides de Martianez Lc ST01,,,,,-16.54336656,28.41529694,2016-09-29T09:58:03,2017-11-20T10:16:32.870000
aparcamiento publico,Aparcamiento Las Quinteras,CL,Calle,Quinteras,0,38201.0,38023,La Laguna,,,,,,-16.31291901,28.4863945,2016-05-09T12:45:15.374000,2018-02-05T09:19:43.005000
aparcamiento publico,Aparcamiento Las Retamas,CL,Calle,Las Retamas,0,38203.0,38023,La Laguna,San Honorato,,,,,-16.32199576,28.48752375,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Los Andenes,CM,Camino,Los Andenes,4,38108.0,38023,La Laguna,Taco,,,,,-16.30092434,28.44695682,2016-05-09T12:45:15.374000,2016-02-04T07:52:37.512000
aparcamiento publico,Aparcamiento Luis Camacho,CL,Calle,Luis Camacho,7,38350.0,38043,Tacoronte,,,,,,-16.4126959,28.47672222,2016-05-09T12:45:15.374000,2015-08-04T13:42:46.792000
aparcamiento publico,Aparcamiento Manuel Hernandez Martin,CL,Calle,Manuel Hernandez Martin,0,38203.0,38023,La Laguna,San Honorato,,,,,-16.32222486,28.48732494,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Mencey,CL,Calle,Doctor Jose Naveiras,42,38004.0,38038,Santa Cruz de Tenerife,,,,,,-16.25381885,28.47491888,2016-05-09T12:45:15.374000,2016-10-13T13:32:57.798000
aparcamiento publico,Aparcamiento Mercadillo Ravelo,LG,"Lugar, zona",Hoya de la Viuda,22,38359.0,38041,El Sauzal,Ravelo,,,,,-16.42111497,28.4591731,2016-05-09T12:45:15.374000,2015-08-04T13:40:07.951000
aparcamiento publico,Aparcamiento Mercado,CL,Calle,Mercado,5,38360.0,38041,El Sauzal,,,,,,-16.433228,28.48019999,2016-05-09T12:45:15.374000,2016-07-28T07:58:13.254000
aparcamiento publico,Aparcamiento Mercado Municipal,Av,Avenida,Blas Perez Gonzalez,s/n,38400.0,38028,Puerto de la Cruz,,,,,,-16.55370494,28.41007424,2023-10-31T08:43:30.441000,2023-10-31T08:43:30.441000
aparcamiento publico,Aparcamiento Molina,CL,Calle,Santiago Cuadrado,31,38006.0,38038,Santa Cruz de Tenerife,,,,,,-16.26272494,28.46741214,2016-05-09T12:45:15.374000,2015-08-05T07:55:58.894000
aparcamiento publico,Aparcamiento Montalban,CL,Calle,Tome Cano,2,38005.0,38038,Santa Cruz de Tenerife,,,,,,-16.26221677,28.45898023,2016-05-09T12:45:15,2017-12-14T09:32:10.802000
aparcamiento publico,Aparcamiento Muebles Drago Cubierto,CL,Calle,Asomada,4,38430.0,38022,Icod de los Vinos,,,,,,-16.718443,28.36645899,2016-05-09T12:45:15.374000,2015-08-04T13:09:51.115000
aparcamiento publico,Aparcamiento Muelle SCT,LG,"Lugar, zona",Muelle Santa Cruz,0,38002.0,38038,Santa Cruz de Tenerife,,,,,,-16.24579787,28.46814492,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Mundo Ahorro,CL,Calle,Continente Trasera 1,2,38111.0,38038,Santa Cruz de Tenerife,,,,,,-16.3000252,28.42757058,2016-05-09T12:45:15,2018-04-25T14:33:16.162000
aparcamiento publico,Aparcamiento MUVISA Rodriguez Moure El Remojo,CL,Calle,Rodriguez Moure,24,38201.0,38023,La Laguna,Aparcamianto Descubierto,parking.muvisa.com,,922634396.0,,-16.31705082,28.49177327,2016-05-09T12:45:15,2018-02-05T09:19:43.005000
aparcamiento publico,Aparcamiento Pabellon Santiago Martin,CL,Calle,Las Macetas,24,38108.0,38023,La Laguna,P I Los Majuelos,,,,,-16.2974595,28.45873844,2017-07-05T09:01:11,2017-07-05T09:01:11
aparcamiento publico,Aparcamiento Pablo Iglesias,AV,Avenida,Pablo Iglesias,1,38204.0,38023,La Laguna,La Trinidad,,,,,-16.31719077,28.48471598,2016-05-09T12:45:15.374000,2018-03-07T08:55:25.415000
aparcamiento publico,Aparcamiento Parque Bulevar I,CL,Calle,Puerto Escondido,4,38002.0,38038,Santa Cruz de Tenerife,CC Parque Boulevard Pl St,,,,,-16.25124481,28.47040951,2016-05-09T12:45:15.374000,2016-07-11T08:50:29.802000
aparcamiento publico,Aparcamiento Parque Maritimo,AV,Avenida,Constitucion,0,38003.0,38038,Santa Cruz de Tenerife,Piscina Los Llanos,,,,,-16.25530544,28.45460098,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
aparcamiento publico,Aparcamiento Pasarella,Av,Avenida,San Francisco,12,38650.0,38006,Arona,,,,,,-16.70734596,28.05243233,2023-10-25T14:21:40.069000,2023-10-25T14:28:08.010000
aparcamiento publico,Aparcamiento Plaza El Principe,CL,Calle,La Iglesia,2,38360.0,38041,El Sauzal,,,,,,-16.437046,28.47900599,2016-05-09T12:45:15.374000,2015-08-04T13:39:35.904000
aparcamiento publico,Aparcamiento Plaza España,PZ,"Plaza, plazoleta",España,2,38002.0,38038,Santa Cruz de Tenerife,,,,,,-16.24730249,28.46811114,2016-05-09T12:45:15.374000,2015-08-04T10:16:43.810000
aparcamiento publico,Aparcamiento Plaza Europa,Pz,"Plaza, plazoleta",Europa,s/n,38400.0,38028,Puerto de la Cruz,,,,,,-16.5489704,28.41810835,2023-10-25T14:27:14.793000,2023-10-25T14:27:14.793000
aparcamiento publico,Aparcamiento Plaza Principe,CL,Calle,Suarez Guerra,50,38002.0,38038,Santa Cruz de Tenerife,,,,,,-16.2505636,28.46909169,2016-05-09T12:45:15.374000,2018-02-05T09:19:43.005000
aparcamiento publico,Aparcamiento Plaza Toros,CL,Calle,Horacio Nelson,13,38006.0,38038,Santa Cruz de Tenerife,,,,,,-16.26033139,28.470458,2016-05-09T12:45:15.374000,2015-08-05T07:55:58.894000
aparcamiento publico,Aparcamiento Polideportivo Ravelo,CL,Calle,San Cristobal,166,38359.0,38041,El Sauzal,Complejo Deportivo Paulino Rivero Ravelo,,,,,-16.424976,28.45426899,2016-05-09T12:45:15.374000,2018-07-02T12:39:23.370000
aparcamiento publico,Aparcamiento Privado,CL,Calle,Eduardo Zamacois,2,38005.0,38038,Santa Cruz de Tenerife,,,,,,-16.259998,28.46156299,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
aparcamiento publico,Aparcamiento pubico,Pg,Polígono,Industrial de Granadilla,s/n,38619.0,38017,Granadilla de Abona,,,,,,-16.50408579,28.0808472,2023-11-02T09:55:23.292000,2023-11-02T09:58:24.365000
aparcamiento publico,Aparcamiento publico,Cm,Camino,Flor Daute,s/n,38480.0,38010,Buenavista del Norte,,,,,,-16.84137546,28.36720167,2023-10-31T08:50:27.600000,2023-10-31T08:50:27.600000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Austria,s/n,38660.0,38001,Adeje,,,,,,-16.72897987,28.07682448,2023-10-25T13:51:36.362000,2023-10-25T13:51:36.362000
aparcamiento publico,Aparcamiento publico,Av,Avenida,de Bruselas,s/n,38679.0,38001,Adeje,Fañabe,,,,,-16.73627268,28.09160694,2023-10-25T12:58:17.620000,2023-10-25T12:58:17.620000
aparcamiento publico,Aparcamiento publico,Av,Avenida,de Moscu,s/n,38670.0,38001,Adeje,,,,,,-16.73077651,28.09312549,2023-10-25T12:28:57.380000,2023-10-25T12:28:57.380000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Principe Pelinor,10,38670.0,38001,Adeje,,,,,,-16.72574904,28.12282477,2023-10-25T12:21:33.159000,2023-10-25T12:21:33.159000
aparcamiento publico,Aparcamiento publico,Cl,Calle,La Viña,s/n,38670.0,38001,Adeje,,,,,,-16.72928608,28.12294038,2023-10-25T12:20:32.927000,2023-10-25T12:20:32.927000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Vista Alegre,s/n,38380.0,38051,La Victoria,Ayuntamiento,,,,,-16.4693979,28.43393443,2023-10-31T09:47:52.450000,2023-10-31T09:48:46.495000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Mencey Bencomo,s/n,38380.0,38051,La Victoria,Campo de futbol La Victoria de Acentejo,,,,,-16.47135859,28.43855414,2023-10-31T09:45:10.377000,2023-10-31T09:48:46.495000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Las Haciendas,s/n,38380.0,38051,La Victoria,,,,,,-16.46909013,28.43412971,2023-10-31T09:47:52.450000,2023-10-31T09:47:52.450000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Mesa del Mar,s/n,38350.0,38043,Tacoronte,Piscina Natural,,,,,-16.42433578,28.5031442,2023-10-31T11:13:17.833000,2023-10-31T11:13:17.833000
aparcamiento publico,Aparcamiento publico,Cr,Carretera,El Pris,s/n,38350.0,38043,Tacoronte,El Pris,,,,,-16.42084873,28.51141188,2023-10-31T11:14:31.346000,2023-10-31T11:14:31.346000
aparcamiento publico,Aparcamiento publico,Cr,Carretera,TF-16,s/n,38350.0,38043,Tacoronte,,,,,,-16.41342313,28.47833961,2023-10-31T10:33:29.378000,2023-10-31T10:33:29.378000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Mesa del Mar,s/n,38350.0,38043,Tacoronte,Mesa del Mar,,,,,-16.42387021,28.50287236,2023-10-31T11:12:30.959000,2023-10-31T11:12:30.959000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Cabildo Insular,s/n,38588.0,38005,Arico,Puerto de Tajao,,,,,-16.46972677,28.10947493,2023-10-25T11:59:13.546000,2023-10-25T11:59:13.546000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Lorenzo Rodriguez,2,38588.0,38005,Arico,Zona de Acampada de San Miguel de Tajao,,,,,-16.47395903,28.10731115,2023-10-25T11:54:48.539000,2023-10-25T11:54:48.539000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Vera de Candelaria,s/n,38588.0,38005,Arico,Abades,,,,,-16.44506375,28.14297196,2023-11-02T09:12:43.984000,2023-11-02T09:12:43.984000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Cantera del Sol,s/n,38588.0,38005,Arico,Abades,,,,,-16.44462065,28.14354239,2023-11-02T08:54:35.628000,2023-11-02T09:10:48.237000
aparcamiento publico,Aparcamiento publico,Cl,Calle,16 de Mayo,s/n,38588.0,38005,Arico,Abades,,,,,-16.44079771,28.14250659,2023-11-02T08:38:42.190000,2023-11-02T08:38:42.190000
aparcamiento publico,Aparcamiento publico,Av,Avenida,La Marina ,s/n,38588.0,38005,Arico,Abades,,,,,-16.44074771,28.14170669,2023-11-02T08:42:39.276000,2023-11-02T09:10:48.237000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Vera de Candelaria,s/n,38588.0,38005,Arico,Abades,,,,,-16.44557775,28.14329067,2023-11-02T09:10:11.989000,2023-11-02T09:10:11.989000
aparcamiento publico,Aparcamiento publico,Cl,Calle,El Timon,s/n,38588.0,38005,Arico,Abades,,,,,-16.44512839,28.14388766,2023-11-02T08:53:28.599000,2023-11-02T09:10:48.237000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Susana,s/n,38470.0,38042,Los Silos,,,,,,-16.81743325,28.3648387,2023-10-31T08:53:38.578000,2023-10-31T08:53:38.578000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Lagar de Mendoza,3,38360.0,38041,El Sauzal,,,,,,-16.41852481,28.47417609,2023-10-31T10:29:41.354000,2023-10-31T10:29:41.354000
aparcamiento publico,Aparcamiento publico,Av,Avenida,Francisco Andrade Fumero,1,38660.0,38006,Arona,,,,,,-16.729422,28.05219955,2023-10-25T14:05:51.287000,2023-10-25T14:05:51.287000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Jose Garcia Allo,s/n,38626.0,38006,Arona,Valle San Lorenzo,,,,,-16.65697905,28.09261931,2023-11-06T08:39:15.787000,2023-11-06T08:39:15.787000
aparcamiento publico,Aparcamiento publico,Lg,"Lugar, zona",Puerto de San Miguel,s/n,38639.0,38006,Arona,Amarilla Golf,,,,,-16.61171715,28.02203217,2023-11-02T12:48:44.866000,2023-11-02T12:48:44.866000
aparcamiento publico,Aparcamiento publico,Av,Avenida,J. M. Galvan Bello,1,38639.0,38006,Arona,Campo de golf,,,,,-16.61016891,28.03391969,2023-11-02T12:43:55.406000,2023-11-02T12:43:55.406000
aparcamiento publico,Aparcamiento publico,Cl,Calle,Trasera S. Blas,1,38639.0,38006,Arona,Oasis del Sur,,,,,-16.60025145,28.0278611,2023-11-02T12:35:13.845000,2023-11-02T12:35:13.845000
