actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
industria automocion repuestos accesorios,Accesorios Taco,CM,Camino,Los Pescadores,4,38108,38023,La Laguna,Z I Las Torres De Taco,,attenerife@accesoriostaco.com,922611000.0,922610996.0,-16.29333395,28.45152489,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria construccion,Acciona,PG,Polígono,Industrial Eras Altas,0,38592,38005,Arico,Pg Las Eras Altas,,,922270402.0,,-16.42922556,28.1934094,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria construccion,Acciona Logistica,PG,Polígono,Industrial Valle de Guimar,0,38509,38011,Candelaria,PG GUIMAR MZ 4 PARC 3,www.accionalogistica.es,,922623443.0,922622687.0,-16.37190203,28.34436988,2016-05-09T12:45:15,2019-04-12T13:59:58.722000
industria construccion,Acerosiete Inox,CL,Calle,Tenbel,66,38639,38035,San Miguel,P I Las Chafiras,www.acerosieteinox.com,info@acerosieteinox.com,902103397.0,,-16.61879428,28.04780724,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria hospitalaria,Acj,CL,Calle,Isaac Peral,0,38109,38032,El Rosario,PI La Campana San Isidro,www.acjsa.com,acjtfe@acjsa.com,902280202.0,922311111.0,-16.31652496,28.41569468,2017-02-15T11:40:07.893000,2023-03-10T14:13:59.292000
industria otro tipo,Acuicultura Marina de Canarias ACUIMARCA,PG,Polígono,Industrial de Granadilla,0,38594,38017,Granadilla de Abona,Pg Granadilla,www.acuimarca.es,info@acuimarca.es,922778034.0,922778035.0,-16.49843867,28.09105656,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria otro tipo,Acuicultura Marina de Canarias ACUIMARCA,PG,Polígono,Industrial de Granadilla,0,38594,38017,Granadilla de Abona,Pg Granadilla,www.acuimarca.es,info@acuimarca.es,922778034.0,922778035.0,-16.4985483,28.0909769,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria automocion taller,Adeje Motor,AV,Avenida,Ayyo,14,38677,38001,Adeje,P I La Atalaya,www.adejemotor.es,adejemotor@hotmail.com,922775770.0,922775630.0,-16.73799806,28.12708723,2017-02-15T11:40:07.893000,2017-03-13T09:29:41.882000
industria construccion,Adesa Ceramicas,CL,Calle,Vista Alegre,5,38380,38051,La Victoria,Lc 5,,,922582571.0,,-16.467672,28.43461999,2016-05-09T12:45:15.374000,2015-08-04T13:35:09.001000
industria automocion taller,Adricar y Romero,CL,Calle,Jureña,11,38639,38035,San Miguel,Z I Las Chafiras II,,adricaryromero2007@hotmail.com,922735035.0,,-16.61062427,28.05610373,2017-02-15T11:40:07.893000,2017-05-09T14:04:22.616000
industria automocion taller,AF Motorsport,CR,Carretera,España TF 217,158,38398,38039,Santa Úrsula,,,info@autocentromotorsport.com,619182946.0,,-16.47999018,28.42451637,2018-02-01T12:44:07.556000,2018-04-10T14:28:43.352000
industria construccion,Afelsa A Feliciano,AV,Avenida,Tres de Mayo,18,38005,38038,Santa Cruz de Tenerife,,www.afelsa.es,,922219000.0,922230309.0,-16.25519223,28.45958794,2016-05-09T12:45:15.374000,2016-08-16T09:14:38.436000
industria alimentacion,Agrucan Spar,CL,Calle,El Afrecho,3,38107,38038,Santa Cruz de Tenerife,Pg El Molino,www.spartenerife.com,halonso@agrucan.com,922626595.0,922626585.0,-16.31697792,28.42311325,2016-05-09T12:45:15.374000,2016-06-28T14:01:29.133000
industria alimentacion,Agrucan Spar,CL,Calle,El Afrecho,3,38107,38038,Santa Cruz de Tenerife,Pg El Molino,www.spartenerife.com,halonso@agrucan.com,922626595.0,922626585.0,-16.31719238,28.42317062,2016-05-09T12:45:15.374000,2016-06-28T14:01:29.133000
maquinaria agricola,Agryencas,PG,Polígono,Industrial Valle de Guimar,0 ,38509,38004,Arafo,PG GUMAR MZ 1 PARC 1 NAVE 2,,,,,-16.37291799,28.33238769,2018-03-13T08:45:26.762000,2018-03-13T08:45:26.762000
industria alimentacion,Aguas de Firgas FIRTEN,CL,Calle,Las Piramides,16,38320,38023,La Laguna,Pg Los Ingenieros,,firten@aguasdefirgas.com,922643351.0,922640871.0,-16.292507,28.46410136,2016-05-09T12:45:15.374000,2016-06-08T14:56:03.261000
industria alimentacion,Aguas de Firgas FIRTEN,CL,Calle,Las Piramides,16,38320,38023,La Laguna,Pg Los Ingenieros,,firten@aguasdefirgas.com,922643351.0,922640871.0,-16.29251765,28.46374289,2016-05-09T12:45:15.374000,2016-06-08T14:56:03.261000
industria alimentacion,Aguas de Firgas FIRTEN,CL,Calle,Las Piramides,16,38320,38023,La Laguna,Pg Los Ingenieros,,firten@aguasdefirgas.com,922643351.0,922640871.0,-16.2925913,28.4637074,2016-05-09T12:45:15.374000,2016-06-08T14:56:03.261000
industria alimentacion,Aguas de Teror,CL,Calle,La Isa,36,38639,38035,San Miguel,Z I Llano Del Camello,www.aguasdeteror.com,fuenteagria@aguasdeteror.com,922735767.0,922735767.0,-16.61569337,28.05286791,2017-02-15T11:40:07.893000,2017-06-07T12:49:35.259000
industria alimentacion,Aguas de Vilaflor Fuente Alta,CL,Calle,Otto Diesel,4,38109,38032,El Rosario,PI La Campana San Isidro,www.fuentealta.es,ventas@fuente-alta.com,922102107.0,922618595.0,-16.31634351,28.41246698,2017-02-15T11:40:07.893000,2017-06-28T12:03:36.848000
industria alimentacion,Aguas de Vilaflor Fuente Alta,AV,Avenida,La Paz,4,38613,38052,Vilaflor,Pg El Chorrillo,www.fuente-alta.com,fabrica@fuente-alta.com,922709129.0,922709009.0,-16.63694029,28.16176312,2016-05-09T12:45:15.374000,2016-08-24T13:02:13.637000
industria alimentacion,Aguas de Vilaflor Fuente Alta,AV,Avenida,Modesto Hernandez Gonzalez,57,38639,38035,San Miguel,P I Las Chafiras,www.fuente-alta.com,,922735106.0,922735417.0,-16.62025686,28.04837223,2017-02-15T11:40:07.893000,2017-06-07T12:49:35.259000
industria alimentacion,Aguas de Vilaflor Fuente Alta,AV,Avenida,Modesto Hernandez Gonzalez,59,38639,38035,San Miguel,P I Las Chafiras,www.fuente-alta.com,,922735106.0,922735418.0,-16.62042292,28.04837119,2017-02-15T11:40:07.893000,2017-06-07T12:49:35.259000
industria alimentacion,Aguas de Vilaflor Fuente Alta,AV,Avenida,Modesto Hernandez Gonzalez,53,38639,38035,San Miguel,P I Las Chafiras,www.fuente-alta.com,,922735106.0,922735417.0,-16.61975662,28.04844956,2017-02-15T11:40:07.893000,2017-06-07T12:49:35.259000
industria alimentacion,Aguas de Vilaflor Fuente Alta,AV,Avenida,Modesto Hernandez Gonzalez,55,38639,38035,San Miguel,P I Las Chafiras,www.fuente-alta.com,,922735106.0,922735417.0,-16.62002513,28.04840576,2017-02-15T11:40:07.893000,2017-06-07T12:49:35.259000
industria alimentacion,Aguas de Vilaflor Fuente Alta,CL,Calle,Otto Diesel,4,38109,38032,El Rosario,PI La Campana San Isidro,www.fuentealta.es,ventas@fuente-alta.com,922102107.0,922618595.0,-16.31637674,28.41234873,2017-02-15T11:40:07.893000,2017-06-28T12:03:36.848000
industria alimentacion,Aguas del Valle de La Orotava Fonteide,CM,Camino,Los Rechazos,40,38314,38026,La Orotava,Los Rechazos,www.fonteide.com,avo@fonteide.com,922326940.0,922323097.0,-16.51706588,28.4050163,2016-05-09T12:45:15.374000,2017-03-24T08:56:15.278000
industria alimentacion,Aguas del Valle de La Orotava Fonteide,CL,Calle,Cigarrillos,0,38111,38038,Santa Cruz de Tenerife,Pg El Pilar,,,,,-16.31639736,28.42806985,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria alimentacion,Aguas del Valle de La Orotava Fonteide,Cl,Calle,La Trinidad,25,38419,38031,Los Realejos,PG San Benito,www.fonteide.com,,922326940.0,922323097.0,-16.57787563,28.38117769,2016-05-09T12:45:15.374000,2023-10-18T14:04:54.665000
industria alimentacion,Aguas del Valle de La Orotava Fonteide,CL,Calle,Tranversal Cl Charfa,0,38677,38001,Adeje,P I La Atalaya,www.fonteide.com,,902364902.0,,-16.74481314,28.12565581,2017-02-15T11:40:07.893000,2017-06-07T12:49:35.259000
industria construccion,Air Liquide España,PG,Polígono,Industrial Valle de Guimar,0,38509,38011,Candelaria,PG GUIMAR MZ 3 PARC 16 y 17,www.airliquide.es,angelsaez@airliquidecom,922505500.0,922502155.0,-16.37174401,28.34069441,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria construccion,Airven Climatizacion,AV,Avenida,Angel Romero,7,38009,38038,Santa Cruz de Tenerife,Ed Jardin del Universo,,,,,-16.273102,28.46322999,2016-05-09T12:45:15.374000,2015-08-04T10:30:50.252000
industria construccion,Aislamientos Tecnicos Canarios,CL,Calle,N Diesel,5,38109,38032,El Rosario,PI La Campana San Isidro,www.ateca-sl.com,ateca@cip.es,922620366.0,922621156.0,-16.31590377,28.41455805,2017-02-15T11:40:07.893000,2017-06-28T12:03:36.848000
industria construccion,Aislamientos Termico-Acusticos Fuerteventura Atefuer,CL,Calle,Las Macetas,0,38108,38023,La Laguna,P I Los Majuelos,www.atefuer.es,info@atefuer.com,922824048.0,922820230.0,-16.29945616,28.46124061,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria construccion,Aislamientos Termico-Acusticos Fuerteventura Atefuer,CL,Calle,Fernando Diaz Cutillas,0,38108,38023,La Laguna,P I Los Majuelos,www.atefuer.es,info@atefuer.com,922824048.0,922820230.0,-16.29961117,28.46088622,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria automocion taller,AJR Chencho,CL,Calle,Fray Luis de Granada,46,38009,38038,Santa Cruz de Tenerife,Chamberi,,,,,-16.27443318,28.45017412,2016-05-09T12:45:15.374000,2015-08-04T10:30:50.252000
industria construccion,Alarmas Verisure,AV,Avenida,Los Majuelos,3,38107,38038,Santa Cruz de Tenerife,,www.securitasdirect.es,,902366366.0,,-16.30983635,28.44451673,2016-05-09T12:45:15.374000,2016-05-12T09:24:36.076000
industria alimentacion,Albie Restauracion Social Catering y Vending,CL,Calle,Jesus Hernandez Guzman,19,38110,38038,Santa Cruz de Tenerife,Z I Mercatenerife Nave A 11,www.plataformaalbie.es,info@dargaexpress.com,914356448.0,915765845.0,-16.28275823,28.43871526,2017-02-15T11:40:07.893000,2017-03-24T07:15:26.864000
industria automocion repuestos accesorios,Alcomotor,CL,Calle,Subida Al Mayorazco,4,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,alcomotor@interbook.net,922200511.0,922200433.0,-16.282101,28.4437931,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria automocion taller,Alexis Servicio Neumaticos,PG,Polígono,Industrial Valle de Guimar,0,38509,38004,Arafo,PG GUIMAR MZ 5 PARC 22 Y 23 NAVE 2,,snalexis@hotmail.com,922583315.0,922583315.0,-16.37123916,28.33382397,2016-05-09T12:45:15.374000,2018-05-24T17:22:06.194000
industria alimentacion,Alimentos Pampa y Mar,CL,Calle,Las Piramides,5,38320,38023,La Laguna,Pg Los Ingenieros,,ventas@pampaymar.es,922657409.0,922642253.0,-16.29119064,28.46406725,2016-05-09T12:45:15.374000,2016-06-28T13:00:48.508000
industria automocion taller,Alineacion y Contrapesado Miguel,CR,Carretera,General TF 152 Norte,360,38340,38043,Tacoronte,Pg Los Naranjeros II,,,922563482.0,,-16.39003253,28.48600701,2016-05-09T12:45:15.374000,2016-06-16T09:21:53.322000
industria almacen deposito,Almacen,CL,Calle,Laura Grote De La Puerta,0,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.28314267,28.44329225,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria almacen deposito,Almacen,CL,Calle,Juan De La Cierva,0,38109,38032,El Rosario,PI La Campana San Isidro,,,0.0,,-16.3175182,28.4132165,2017-02-15T11:40:07.893000,2017-06-28T12:03:36.848000
industria almacen deposito,Almacen,CL,Calle,Laura Grote De La Puerta,1,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.28504806,28.4432043,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria almacen deposito,Almacen,CR,Carretera,Hoya Fria,0,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.28133446,28.44435434,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria almacen deposito,Almacenaje Deposito,CL,Calle,Archajara,0,38677,38001,Adeje,P I La Atalaya,,,0.0,,-16.73873711,28.12667589,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria almacen deposito,Almacenaje Deposito En Nave,CL,Calle,Tenderete,0,38108,38023,La Laguna,P I Los Majuelos,,,0.0,,-16.30059015,28.45837886,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria alimentacion,Almacenes y Frigorificos Del Atlantico,CL,Calle,Fundadores Cooperativa,19,38639,38035,San Miguel,Z I Llano Del Camello,,,922735076.0,922735388.0,-16.61337017,28.05509139,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria alimentacion,Almacenes y Frigorificos Del Atlantico,CL,Calle,Fundadores Cooperativa,19,38639,38035,San Miguel,Z I Llano Del Camello,,,922735076.0,922735388.0,-16.61289333,28.05522509,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria carpinteria metalica,Almenar e Hijos,CL,Calle,Ismael Dominguez,37,38350,38043,Tacoronte,,,,922560673.0,922563870.0,-16.41738157,28.47789639,2016-05-09T12:45:15.374000,2015-08-04T13:42:46.792000
industria automocion taller,Alonso Motor,CL,Calle,Ingenios Azucareros,16,38312,38026,La Orotava,P I San Jeronimo,,,0.0,,-16.54272429,28.39657285,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria automocion taller,Alonso Motor Am,CL,Calle,El Baden,3,38312,38026,La Orotava,P I San Jeronimo,www.repuestosorotava.com,alonsomotor@hotmail.com,922193671.0,,-16.54203885,28.39670264,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
industria construccion,Alquiler Maquinaria del Rosario Delgado,CL,Calle,Lomo Molino,19,38500,38020,Güimar,,,,922510927.0,,-16.403982,28.31488199,2016-05-09T12:45:15.374000,2015-08-04T10:57:05.185000
industria construccion,Alquiler y Transportes Pedro Trujillo,CL,Calle,La Isa,38,38639,38035,San Miguel,Z I Llano Del Camello,www.pedrotrujillo.com,pedro@pedrotrujillo.com,922736800.0,922736748.0,-16.61575699,28.05305612,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
imprenta reprografia,Alternativa Digital Canaria,CL,Calle,Laura Grote De La Puerta,0,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,922823432.0,,-16.28543502,28.44289877,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
industria carpinteria aluminio,Alucan,PG,Polígono,Industrial Valle de Guimar,0,38509,38020,Güimar,Pg Guimar,www.alucansa.com,info@alucansa.com,922500223.0,922500166.0,-16.3721854,28.32556782,2016-05-09T12:45:15.374000,2018-05-24T17:22:06.194000
industria carpinteria aluminio,Alucan,PG,Polígono,Industrial Valle de Guimar,0,38509,38011,Candelaria,PG GUIMAR MZ 3 PARC 11 12 13 14 Y 15,www.alucansa.com,info@alucansa.com,922500223.0,922500166.0,-16.37166362,28.34231217,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria carpinteria aluminio,Alucasa,CM,Camino,La Palma,11,38434,38022,Icod de los Vinos,Santa Barbara,,,636725908.0,922121178.0,-16.69175509,28.36918621,2016-05-09T12:45:15.374000,2018-03-06T07:51:31.636000
industria carpinteria aluminio,Alucris Cristaleria,AV,Avenida,Isora,89,36680,38019,Guía de Isora,Guia de Isora,,aluminioalucris@gmail.com,922850145.0,,-16.78209441,28.21243805,2016-05-09T12:45:15.374000,2019-04-12T11:56:11.551000
industria construccion,Aludeco,Cl,Calle,Puerto Franco,3,38410,38031,Los Realejos,Realejo Bajo Ed Los Tulipanes,,alu.deco@hotmail.com,922346680.0,,-16.58485344,28.38901322,2016-05-09T12:45:15.374000,2023-10-18T14:04:54.665000
industria carpinteria aluminio,Aludecor,CL,Calle,San Nicolas Trasera,5,38108,38023,La Laguna,San Matias,,,,,-16.29494836,28.44078905,2016-05-09T12:45:15.374000,2015-08-04T10:43:56.867000
industria carpinteria aluminio,Aluforja,CR,Carretera,General TF 217 Norte,210,38389,38051,La Victoria,,,,922581602.0,922581434.0,-16.477797,28.42863999,2016-05-09T12:45:15.374000,2015-08-04T13:36:35.141000
industria carpinteria aluminio,Alujardin,CL,Calle,El Jardin,22,38419,38031,Los Realejos,El Jardin,,,922342423.0,922342423.0,-16.57329183,28.38901778,2016-05-09T12:45:15.374000,2015-08-04T13:18:59.780000
industria carpinteria aluminio,Alujardin,CL,Calle,El Jardin,22,38419,38031,Los Realejos,El Jardin,,,922342423.0,922342423.0,-16.57290306,28.38978522,2019-03-15T12:04:51.436000,2019-03-15T12:04:51.436000
industria carpinteria aluminio,Alumcadi,CM,Camino,Las Haciendas,61,38291,38023,La Laguna,Los Baldios,www.alumcadi.com,,922253472.0,922314254.0,-16.32412509,28.4691301,2016-08-01T13:22:06.484000,2016-08-01T13:22:06.484000
industria carpinteria aluminio,Alumcristal,CL,Calle,Magallanes,6,38108,38023,La Laguna,Taco,,alumcristal@hotmail.es,922638606.0,,-16.30179838,28.44772111,2016-05-09T12:45:15.374000,2016-02-04T07:28:42.618000
industria carpinteria aluminio,Aluminio Cristaleria Tenerife Sur,CR,Carretera,General TF 28 Sur,59,38620,38035,San Miguel,,,,,,-16.61528625,28.10014301,2016-05-09T12:45:15.374000,2015-08-05T07:32:57.630000
industria carpinteria aluminio,Aluminio Ferrer,CR,Carretera,General TF 281 Subida Arafo,7,38509,38004,Arafo,El Carreton,,,922512310.0,,-16.37841256,28.32816785,2016-05-17T15:06:27,2016-05-18T10:22:42.824000
industria carpinteria aluminio,Aluminio J Rivero,CL,Calle,Eduardo de Roo,3,38320,38023,La Laguna,La Cuesta,,,822021324.0,,-16.28815327,28.47112625,2016-05-09T12:45:15.374000,2015-08-04T10:33:10.329000
industria carpinteria aluminio,Aluminio Perfer,CR,Carretera,General TF 351 San Jose,71,38428,38034,San Juan de la Rambla,San Jose,,aluperfersl@hotmail.com,,,-16.641329,28.38121999,2016-05-09T12:45:15.374000,2016-05-24T11:46:13.881000
industria carpinteria aluminio,Aluminio Rion,CL,Calle,Mejenero,10,38290,38032,El Rosario,La Esperanza,,,,,-16.370081,28.44736499,2016-05-09T12:45:15.374000,2015-08-04T10:49:35.113000
industria carpinteria aluminio,Aluminio y Carpinteria Alcar,PG,Polígono,Industrial Valle de Guimar,0,38509,38004,Arafo,PG GUIMAR MZ B PARC 1,www.alcarsa.es,tenerife@alcarsa.es,922539771.0,922539615.0,-16.3742024,28.32957031,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
industria carpinteria aluminio,Aluminio y Cristaleria ALUCRIS,CM,Camino,Cementerio,1,38680,38019,Guía de Isora,Pg Guia Isora,www.aluminioycristaleriaalucris.com,info@aluminioycristaleriaalucris.com,922850145.0,,-16.77392393,28.20783124,2016-05-09T12:45:15.374000,2016-08-24T13:02:13.637000
industria carpinteria aluminio,Aluminios Abel Felipe,CM,Camino,Hondo,13,38292,38046,Tegueste,Pedro Alvarez,,,620045750.0,,-16.3172,28.52120999,2016-05-09T12:45:15.374000,2015-08-04T13:50:59.466000
industria carpinteria aluminio,Aluminios Acentejo,CL,Calle,El Pino,5,38380,38051,La Victoria,,,,922580063.0,,-16.47004443,28.43312959,2016-05-09T12:45:15.374000,2015-11-24T12:59:06.552000
industria carpinteria aluminio,Aluminios Alcala,CL,Calle,Los Suspiros,17,38686,38019,Guía de Isora,Alcala,,,,,-16.83010661,28.20194069,2016-05-09T12:45:15.374000,2015-08-04T12:53:56.299000
industria carpinteria aluminio,Aluminios Alclad,AV,Avenida,Abona,70,38611,38017,Granadilla de Abona,San Isidro,,alcladaluminios@hotmail.com,922392384.0,,-16.556949,28.0863687,2016-05-09T12:45:15.374000,2017-05-16T10:22:12.840000
industria carpinteria aluminio,Aluminios Alcoral,CL,Calle,Francisco Bello,76,38320,38023,La Laguna,La Cuesta Bo La Candelaria,www.paludariosalcoral.com,,620857701.0,922660674.0,-16.28395374,28.47123576,2017-10-30T09:30:21.334000,2017-10-30T09:30:21.334000
industria carpinteria aluminio,Aluminios Alfonso Amador,CR,Carretera,General TF 66 Cruz del Guanche Guaza,274,38627,38006,Arona,Buzanada,,,617991865.0,922722333.0,-16.66103847,28.07134752,2016-07-25T14:07:10.516000,2016-07-25T14:07:10.516000
industria carpinteria aluminio,Aluminios Alsa Canarias,CR,Carretera,Vieja TF 213,52,38389,38051,La Victoria,,,,,,-16.480877,28.42910999,2016-05-09T12:45:15.374000,2015-08-04T13:36:35.141000
industria carpinteria aluminio,Aluminios Alucan,CL,Calle,Acentejo,1,38379,38025,La Matanza,Entrada Puntillo del Sol,www.alucansa.com,info@alucansa.com,922577270.0,922577390.0,-16.44872466,28.46023295,2016-05-09T12:45:15.374000,2015-08-05T07:38:22.579000
industria carpinteria aluminio,Aluminios Aludos,CL,Calle,Lomo Hilos,3,38398,38039,Santa Úrsula,,,,922302622.0,922304430.0,-16.48519781,28.42345564,2017-01-16T10:54:56,2017-01-16T10:54:56
industria carpinteria aluminio,Aluminios Alumenor,CL,Calle,Lomo Clerigo,15,38677,38001,Adeje,Iboibo,,,922163034.0,,-16.76455304,28.14953627,2017-12-12T14:11:56.046000,2017-12-12T14:11:56.046000
industria carpinteria aluminio,Aluminios Alusal,CL,Calle,Rivera,3,38320,38023,La Laguna,Salud Alto,,,922202007.0,,-16.28184729,28.4693157,2016-05-09T12:45:15.374000,2015-08-04T10:33:10.329000
industria carpinteria aluminio,Aluminios Alusenay,CR,Carretera,General TF 24 Las Cañadas,16,38290,38032,El Rosario,La Esperanza,,,,,-16.36137,28.45675699,2016-05-09T12:45:15.374000,2015-08-04T10:49:35.113000
industria carpinteria aluminio,Aluminios Aluvan,CR,Carretera,General TF 66 Cruz del Guanche Guaza,132,38626,38006,Arona,Valle San Lorenzo,,aluvancarpinteria@gmail.com,922728050.0,0.0,-16.66174025,28.08017462,2016-05-09T12:45:15.374000,2015-08-04T12:31:10.347000
industria carpinteria aluminio,Aluminios Aluvol,CL,Calle,Tagoror,22,38509,38020,Güimar,La Hidalga,,,687969086.0,,-16.40025795,28.33173271,2016-05-09T12:45:15.374000,2015-08-04T10:55:12.015000
industria carpinteria aluminio,Aluminios Aluxsa,CL,Calle,Princesa Ifara,31,38611,38017,Granadilla de Abona,San Isidro,,,922390952.0,,-16.55562598,28.07822884,2016-05-09T12:45:15.374000,2015-08-04T11:58:50.747000
industria carpinteria aluminio,Aluminios Andrea,CL,Calle,Arrayanero,4,38380,38051,La Victoria,,,,664262691.0,,-16.46214196,28.4380799,2016-05-09T12:45:15.374000,2017-03-24T08:59:17.357000
industria carpinteria aluminio,Aluminios Andrea,CL,Calle,Domingo Salazar,85,38389,38051,La Victoria,Ed Correa  y Alvarez,,,922581742.0,,-16.474766,28.42980999,2016-05-09T12:45:15.374000,2015-08-04T13:36:35.141000
industria carpinteria aluminio,Aluminios Archipielago,CL,Calle,Arrayanero,13,38380,38051,La Victoria,,,,922581835.0,,-16.47410544,28.43003896,2016-05-09T12:45:15.374000,2017-03-24T08:59:17.357000
industria carpinteria aluminio,Aluminios Arona,CR,Carretera,General TF 366 El Amparo,172,38438,38022,Icod de los Vinos,El Amparo,,,922122062.0,922122062.0,-16.71213929,28.35665657,2016-05-09T12:45:15.374000,2015-08-04T13:10:36.692000
